new_id,old_id
CCMSLIB00012722687,CCMSLIB00012173519
CCMSLIB00012722688,CCMSLIB00012173520
CCMSLIB00012722689,CCMSLIB00012173521
CCMSLIB00012722690,CCMSLIB00012173522
CCMSLIB00012722691,CCMSLIB00012173523
CCMSLIB00012722692,CCMSLIB00012173524
CCMSLIB00012722693,CCMSLIB00012173525
CCMSLIB00012722694,CCMSLIB00012173526
CCMSLIB00012722695,CCMSLIB00012173527
CCMSLIB00012722696,CCMSLIB00012173528
CCMSLIB00012722697,CCMSLIB00012173529
CCMSLIB00012722698,CCMSLIB00012173530
CCMSLIB00012722699,CCMSLIB00012173531
CCMSLIB00012722700,CCMSLIB00012173533
CCMSLIB00012722701,CCMSLIB00012173534
CCMSLIB00012722702,CCMSLIB00012173535
CCMSLIB00012722703,CCMSLIB00012173536
CCMSLIB00012722704,CCMSLIB00012173537
CCMSLIB00012722705,CCMSLIB00012173538
CCMSLIB00012722706,CCMSLIB00012173539
CCMSLIB00012722707,CCMSLIB00012173545
CCMSLIB00012722708,CCMSLIB00012173550
CCMSLIB00012722709,CCMSLIB00012173551
CCMSLIB00012722710,CCMSLIB00012173562
CCMSLIB00012722711,CCMSLIB00012173563
CCMSLIB00012722712,CCMSLIB00012173564
CCMSLIB00012722713,CCMSLIB00012173565
CCMSLIB00012722714,CCMSLIB00012173566
CCMSLIB00012722715,CCMSLIB00012173567
CCMSLIB00012722716,CCMSLIB00012173568
CCMSLIB00012722717,CCMSLIB00012173569
CCMSLIB00012722718,CCMSLIB00012173570
CCMSLIB00012722719,CCMSLIB00012173604
CCMSLIB00012722720,CCMSLIB00012173605
CCMSLIB00012722721,CCMSLIB00012173606
CCMSLIB00012722722,CCMSLIB00012173607
CCMSLIB00012722723,CCMSLIB00012173608
CCMSLIB00012722724,CCMSLIB00012173609
CCMSLIB00012722725,CCMSLIB00012173610
CCMSLIB00012722726,CCMSLIB00012173611
CCMSLIB00012722727,CCMSLIB00012173612
CCMSLIB00012722728,CCMSLIB00012173613
CCMSLIB00012722729,CCMSLIB00012173614
CCMSLIB00012722730,CCMSLIB00012173615
CCMSLIB00012722731,CCMSLIB00012173616
CCMSLIB00012722732,CCMSLIB00012173617
CCMSLIB00012722733,CCMSLIB00012173618
CCMSLIB00012722734,CCMSLIB00012173619
CCMSLIB00012722735,CCMSLIB00012173620
CCMSLIB00012722736,CCMSLIB00012173626
CCMSLIB00012722737,CCMSLIB00012173629
CCMSLIB00012722738,CCMSLIB00012173630
CCMSLIB00012722739,CCMSLIB00012173634
CCMSLIB00012722740,CCMSLIB00012173635
CCMSLIB00012722741,CCMSLIB00012173636
CCMSLIB00012722742,CCMSLIB00012173638
CCMSLIB00012722743,CCMSLIB00012173639
CCMSLIB00012722744,CCMSLIB00012173640
CCMSLIB00012722745,CCMSLIB00012173688
CCMSLIB00012722746,CCMSLIB00012173689
CCMSLIB00012722747,CCMSLIB00012173690
CCMSLIB00012722748,CCMSLIB00012173691
CCMSLIB00012722749,CCMSLIB00012173692
CCMSLIB00012722750,CCMSLIB00012173693
CCMSLIB00012722751,CCMSLIB00012173694
CCMSLIB00012722752,CCMSLIB00012173695
CCMSLIB00012722753,CCMSLIB00012173696
CCMSLIB00012722754,CCMSLIB00012173697
CCMSLIB00012722755,CCMSLIB00012173698
CCMSLIB00012722756,CCMSLIB00012173699
CCMSLIB00012722757,CCMSLIB00012173700
CCMSLIB00012722758,CCMSLIB00012173701
CCMSLIB00012722759,CCMSLIB00012173702
CCMSLIB00012722760,CCMSLIB00012173703
CCMSLIB00012722761,CCMSLIB00012173705
CCMSLIB00012722762,CCMSLIB00012173706
CCMSLIB00012722763,CCMSLIB00012173707
CCMSLIB00012722764,CCMSLIB00012173708
CCMSLIB00012722765,CCMSLIB00012173709
CCMSLIB00012722766,CCMSLIB00012173710
CCMSLIB00012722767,CCMSLIB00012173711
CCMSLIB00012722768,CCMSLIB00012173712
CCMSLIB00012722769,CCMSLIB00012173713
CCMSLIB00012722770,CCMSLIB00012173715
CCMSLIB00012722771,CCMSLIB00012173716
CCMSLIB00012722772,CCMSLIB00012173717
CCMSLIB00012722773,CCMSLIB00012173718
CCMSLIB00012722774,CCMSLIB00012173719
CCMSLIB00012722775,CCMSLIB00012173720
CCMSLIB00012722776,CCMSLIB00012173721
CCMSLIB00012722777,CCMSLIB00012173722
CCMSLIB00012722778,CCMSLIB00012173723
CCMSLIB00012722779,CCMSLIB00012173724
CCMSLIB00012722780,CCMSLIB00012173726
CCMSLIB00012722781,CCMSLIB00012173727
CCMSLIB00012722782,CCMSLIB00012173731
CCMSLIB00012722783,CCMSLIB00012173734
CCMSLIB00012722784,CCMSLIB00012173742
CCMSLIB00012722785,CCMSLIB00012173743
CCMSLIB00012722786,CCMSLIB00012173745
CCMSLIB00012722787,CCMSLIB00012173746
CCMSLIB00012722788,CCMSLIB00012173748
CCMSLIB00012722789,CCMSLIB00012173756
CCMSLIB00012722790,CCMSLIB00012173759
CCMSLIB00012722791,CCMSLIB00012173760
CCMSLIB00012722792,CCMSLIB00012173761
CCMSLIB00012722793,CCMSLIB00012173762
CCMSLIB00012722794,CCMSLIB00012173763
CCMSLIB00012722795,CCMSLIB00012173766
CCMSLIB00012722796,CCMSLIB00012173769
CCMSLIB00012722797,CCMSLIB00012173773
CCMSLIB00012722798,CCMSLIB00012173774
CCMSLIB00012722799,CCMSLIB00012173775
CCMSLIB00012722800,CCMSLIB00012173777
CCMSLIB00012722801,CCMSLIB00012173778
CCMSLIB00012722802,CCMSLIB00012173797
CCMSLIB00012722803,CCMSLIB00012173798
CCMSLIB00012722804,CCMSLIB00012173799
CCMSLIB00012722805,CCMSLIB00012173801
CCMSLIB00012722806,CCMSLIB00012173802
CCMSLIB00012722807,CCMSLIB00012173803
CCMSLIB00012722808,CCMSLIB00012173804
CCMSLIB00012722809,CCMSLIB00012173805
CCMSLIB00012722810,CCMSLIB00012173806
CCMSLIB00012722811,CCMSLIB00012173821
CCMSLIB00012722812,CCMSLIB00012173822
CCMSLIB00012722813,CCMSLIB00012173823
CCMSLIB00012722814,CCMSLIB00012173824
CCMSLIB00012722815,CCMSLIB00012173829
CCMSLIB00012722816,CCMSLIB00012173835
CCMSLIB00012722817,CCMSLIB00012173837
CCMSLIB00012722818,CCMSLIB00012173838
CCMSLIB00012722819,CCMSLIB00012173839
CCMSLIB00012722820,CCMSLIB00012173840
CCMSLIB00012722821,CCMSLIB00012173841
CCMSLIB00012722822,CCMSLIB00012173842
CCMSLIB00012722823,CCMSLIB00012173843
CCMSLIB00012722824,CCMSLIB00012173844
CCMSLIB00012722825,CCMSLIB00012173845
CCMSLIB00012722826,CCMSLIB00012173846
CCMSLIB00012722827,CCMSLIB00012173847
CCMSLIB00012722828,CCMSLIB00012173848
CCMSLIB00012722829,CCMSLIB00012173862
CCMSLIB00012722830,CCMSLIB00012173863
CCMSLIB00012722831,CCMSLIB00012173864
CCMSLIB00012722832,CCMSLIB00012173865
CCMSLIB00012722833,CCMSLIB00012173866
CCMSLIB00012722834,CCMSLIB00012173867
CCMSLIB00012722835,CCMSLIB00012173868
CCMSLIB00012722836,CCMSLIB00012173875
CCMSLIB00012722837,CCMSLIB00012173876
CCMSLIB00012722838,CCMSLIB00012173877
CCMSLIB00012722839,CCMSLIB00012173879
CCMSLIB00012722840,CCMSLIB00012173882
CCMSLIB00012722841,CCMSLIB00012173883
CCMSLIB00012722842,CCMSLIB00012173884
CCMSLIB00012722843,CCMSLIB00012173885
CCMSLIB00012722844,CCMSLIB00012173886
CCMSLIB00012722845,CCMSLIB00012173887
CCMSLIB00012722846,CCMSLIB00012173888
CCMSLIB00012722847,CCMSLIB00012173889
CCMSLIB00012722848,CCMSLIB00012173890
CCMSLIB00012722849,CCMSLIB00012173891
CCMSLIB00012722850,CCMSLIB00012173892
CCMSLIB00012722851,CCMSLIB00012173893
CCMSLIB00012722852,CCMSLIB00012173894
CCMSLIB00012722853,CCMSLIB00012173895
CCMSLIB00012722854,CCMSLIB00012173896
CCMSLIB00012722855,CCMSLIB00012173897
CCMSLIB00012722856,CCMSLIB00012173898
CCMSLIB00012722857,CCMSLIB00012173899
CCMSLIB00012722858,CCMSLIB00012173900
CCMSLIB00012722859,CCMSLIB00012173901
CCMSLIB00012722860,CCMSLIB00012173907
CCMSLIB00012722861,CCMSLIB00012173910
CCMSLIB00012722862,CCMSLIB00012173913
CCMSLIB00012722863,CCMSLIB00012173914
CCMSLIB00012722864,CCMSLIB00012173917
CCMSLIB00012722865,CCMSLIB00012173918
CCMSLIB00012722866,CCMSLIB00012173919
CCMSLIB00012722867,CCMSLIB00012173920
CCMSLIB00012722868,CCMSLIB00012173921
CCMSLIB00012722869,CCMSLIB00012173922
CCMSLIB00012722870,CCMSLIB00012173923
CCMSLIB00012722871,CCMSLIB00012173924
CCMSLIB00012722872,CCMSLIB00012173925
CCMSLIB00012722873,CCMSLIB00012173926
CCMSLIB00012722874,CCMSLIB00012173927
CCMSLIB00012722875,CCMSLIB00012173928
CCMSLIB00012722876,CCMSLIB00012173929
CCMSLIB00012722877,CCMSLIB00012173930
CCMSLIB00012722878,CCMSLIB00012173931
CCMSLIB00012722879,CCMSLIB00012173932
CCMSLIB00012722880,CCMSLIB00012173933
CCMSLIB00012722881,CCMSLIB00012173934
CCMSLIB00012722882,CCMSLIB00012173935
CCMSLIB00012722883,CCMSLIB00012173936
CCMSLIB00012722884,CCMSLIB00012173937
CCMSLIB00012722885,CCMSLIB00012173938
CCMSLIB00012722886,CCMSLIB00012173939
CCMSLIB00012722887,CCMSLIB00012173940
CCMSLIB00012722888,CCMSLIB00012173941
CCMSLIB00012722889,CCMSLIB00012173942
CCMSLIB00012722890,CCMSLIB00012173943
CCMSLIB00012722891,CCMSLIB00012173944
CCMSLIB00012722892,CCMSLIB00012173945
CCMSLIB00012722893,CCMSLIB00012173946
CCMSLIB00012722894,CCMSLIB00012173949
CCMSLIB00012722895,CCMSLIB00012173951
CCMSLIB00012722896,CCMSLIB00012173952
CCMSLIB00012722897,CCMSLIB00012173953
CCMSLIB00012722898,CCMSLIB00012173954
CCMSLIB00012722899,CCMSLIB00012173955
CCMSLIB00012722900,CCMSLIB00012173956
CCMSLIB00012722901,CCMSLIB00012173957
CCMSLIB00012722902,CCMSLIB00012173958
CCMSLIB00012722903,CCMSLIB00012173959
CCMSLIB00012722904,CCMSLIB00012173960
CCMSLIB00012722905,CCMSLIB00012173961
CCMSLIB00012722906,CCMSLIB00012173962
CCMSLIB00012722907,CCMSLIB00012173964
CCMSLIB00012722908,CCMSLIB00012173965
CCMSLIB00012722909,CCMSLIB00012173966
CCMSLIB00012722910,CCMSLIB00012173968
CCMSLIB00012722911,CCMSLIB00012173970
CCMSLIB00012722912,CCMSLIB00012173971
CCMSLIB00012722913,CCMSLIB00012173972
CCMSLIB00012722914,CCMSLIB00012173974
CCMSLIB00012722915,CCMSLIB00012173975
CCMSLIB00012722916,CCMSLIB00012173976
CCMSLIB00012722917,CCMSLIB00012173978
CCMSLIB00012722918,CCMSLIB00012173979
CCMSLIB00012722919,CCMSLIB00012173980
CCMSLIB00012722920,CCMSLIB00012173981
CCMSLIB00012722921,CCMSLIB00012173990
CCMSLIB00012722922,CCMSLIB00012174001
CCMSLIB00012722923,CCMSLIB00012174003
CCMSLIB00012722924,CCMSLIB00012174039
CCMSLIB00012722925,CCMSLIB00012174048
CCMSLIB00012722926,CCMSLIB00012174056
CCMSLIB00012722927,CCMSLIB00012174057
CCMSLIB00012722928,CCMSLIB00012174058
CCMSLIB00012722929,CCMSLIB00012174059
CCMSLIB00012722930,CCMSLIB00012174060
CCMSLIB00012722931,CCMSLIB00012174061
CCMSLIB00012722932,CCMSLIB00012174062
CCMSLIB00012722933,CCMSLIB00012174063
CCMSLIB00012722934,CCMSLIB00012174064
CCMSLIB00012722935,CCMSLIB00012174065
CCMSLIB00012722936,CCMSLIB00012174066
CCMSLIB00012722937,CCMSLIB00012174067
CCMSLIB00012722938,CCMSLIB00012174068
CCMSLIB00012722939,CCMSLIB00012174069
CCMSLIB00012722940,CCMSLIB00012174070
CCMSLIB00012722941,CCMSLIB00012174074
